id,name,plainName,categoryId,scope,description,targetPeople,supportType,repaymentRequired,amountDescription,applicationDeadline,requiredDocuments,documentsOptionalNote,applicationFlow,officeId,municipalityId,sourceId,status,lastVerifiedAt
pension-living-support,年金生活者支援給付金,所得が低い年金受給者への上乗せ給付,money,national,公的年金などの収入やその他の所得が基準以下の年金受給者へ年金に上乗せして支給する給付金です。,老齢・障害・遺族基礎年金を受給しそれぞれの所得等の要件を満たす方,benefit,false,年金の種類・保険料納付期間・所得などにより異なります。,,年金生活者支援給付金請求書など日本年金機構が指定する書類,対象見込みの方には日本年金機構から請求案内が届く場合があります。,日本年金機構からの案内を確認するか年金事務所へ年金生活者支援給付金について相談してください。,,,source-jps-pension-support,published,2026-07-26
dv-consultation-navi,DV相談ナビ,近くのDV相談窓口につながる全国共通電話,violence,national,配偶者などからの暴力についてどこへ相談すればよいか分からないときに地域の配偶者暴力相談支援センターへつなぐ電話案内です。,配偶者やパートナーなどからの暴力に悩んでいる方,consultation,false,,,,受付時間は接続先の相談機関により異なります。,今すぐ危険がある場合は110へ電話してください。相談先を探す場合は#8008へ電話してください。,,,source-cao-dv-navi,published,2026-07-26
child-abuse-dial,児童相談所虐待対応ダイヤル189,子どもの虐待を相談・通告できる全国共通電話,violence,national,虐待かもしれないと思ったときや子どもの安全が心配なときに近くの児童相談所へつながる全国共通の電話です。,虐待を受けている可能性がある子ども・保護者・周囲の方,consultation,false,,,,匿名で相談でき相談内容の秘密は守られます。,子どもの安全が心配なときは189へ電話してください。差し迫った危険がある場合は110へ電話してください。,,,source-cfa-child-abuse-dial,published,2026-07-26
mental-health-consultation,こころの健康相談統一ダイヤル,こころのつらさを地域の公的窓口へ相談できる電話,mental,national,こころの悩みや不安を相談できる地域の公的な相談窓口へつながる全国共通ダイヤルです。,こころがつらい方・消えたい気持ちがある方・その家族や周囲の方,consultation,false,,,,受付時間は接続先の都道府県・政令指定都市により異なります。,生命に差し迫った危険がある場合は110または119へ連絡してください。相談は0570-064-556へ電話できます。,,,source-mhlw-mental-health-line,published,2026-07-26
legal-aid-consultation,民事法律扶助,借金などを無料で法律相談できる制度,debt,national,経済的に困っている方を対象に弁護士・司法書士との無料法律相談や必要な場合の費用立替を行う制度です。,収入・資産などの利用条件を満たす方,consultation,false,法律相談は無料です。弁護士等費用の立替を利用した場合は原則として返済が必要です。,,収入や資産を確認する書類など,相談内容や利用する援助によって審査と必要書類が異なります。,近くの法テラスへ無料法律相談を利用したいと問い合わせて予約してください。,,,source-houterasu-civil-legal-aid,published,2026-07-26
tsukuba-housing-benefit,つくば市住居確保給付金,家賃や転居費用の支援,rent,municipality,離職や収入減少などで住まいを失った方または失うおそれがある方に家賃相当額や対象となる転居費用を支給します。,収入・資産・離職等の要件を満たすつくば市民,benefit,false,家賃補助は世帯人数により月額上限3万4000円～5万3000円・転居費用は転居先と世帯人数により上限あり,,本人確認・収入・資産・住居や離職状況を確認する書類,世帯状況や申請内容により必要書類が異なるため事前相談が必要です。,つくば市生活支援課へ相談してください。,tsukuba-housing-benefit,ibaraki-tsukuba,source-tsukuba-self-reliance,published,2026-07-26
tsukuba-shelter,つくば市居住支援事業（シェルター事業）,今夜の宿泊場所・食事・衣類を相談できる支援,housing,municipality,一定の住居がなく生活に困っている方へ一定期間の宿泊場所・食事・衣類等を提供し生活再建を支援します。,一定の住居がなく生活に困窮している方,housing,false,宿泊場所・食事・衣類等を一定期間提供,,相談内容に応じた書類,つくば市は茨城県の実施団体と連携して支援するため利用条件を窓口で確認してください。,つくば市生活支援課へ今夜の住まいに困っていることを伝えてください。,tsukuba-self-reliance,ibaraki-tsukuba,source-tsukuba-self-reliance,published,2026-07-26
tsukuba-household-improvement,つくば市家計改善支援事業,家計・借金・滞納を整理する支援,debt,municipality,家計表などで収支を見える化し必要な情報提供や専門的な助言を行います。,家計の収支や借金・滞納などに課題を抱えるつくば市民,consultation,false,,,,手元にある家計や債務の資料があれば相談が円滑です。,つくば市生活支援課へ家計改善支援を利用したいと相談してください。,tsukuba-self-reliance,ibaraki-tsukuba,source-tsukuba-self-reliance,published,2026-07-26
tsukuba-child-study-support,つくばこどもの青い羽根学習会,生活に困っている家庭の子どもの無料学習支援,children,municipality,生活保護または就学援助を受ける世帯の子どもに無料の学習・生活支援を行います。,生活保護・就学援助受給世帯の4年生から9年生,other,false,無料,,申込時に案内される書類,開催場所や申込時期は公式ページと窓口で確認してください。,つくば市生活支援課またはこども未来課へ相談してください。,tsukuba-self-reliance,ibaraki-tsukuba,source-tsukuba-self-reliance,published,2026-07-26
tsukuba-single-parent-welfare-grant,つくば市ひとり親家庭等児童福祉金,ひとり親家庭などの子どもに市が支給する独自手当,children,municipality,対象となる児童を養育する方へ養育・就学・健全育成のため市独自の福祉金を支給します。,つくば市に住み制度所定の要件を満たす児童を養育する方,benefit,false,児童1人あたり児童扶養手当受給世帯は月5000円・非受給世帯は月2500円,,申請者の状況により異なる,必ず事前に窓口へ必要書類を確認し申請者本人が来庁してください。,つくば市こども政策課へ事前相談して本人が来庁申請してください。,tsukuba-single-parent,ibaraki-tsukuba,source-tsukuba-single-parent-grant,published,2026-07-26
